year,industry1,industry2,industry3,retrench,retrench_permanent,retrench_term_contract
2022,services,wholesale and retail trade,wholesale trade,850,830,20
2022,services,wholesale and retail trade,retail trade,70,60,-
2022,services,transportation and storage,land transport and supporting services,10,10,-
2022,services,transportation and storage,water transport and supporting services,60,60,-
2022,services,transportation and storage,air transport and supporting services,10,10,-
2022,services,transportation and storage,other transport and storage services,70,70,-
2022,services,accommodation and food services,accommodation,20,-,20
2022,services,accommodation and food services,food and beverage services,20,10,-
2022,services,information and communications,"telecommunications, broadcasting and publishing",410,400,10
2022,services,information and communications,it and other information services,790,780,10
2022,services,financial and insurance services,financial services,670,660,10
2022,services,financial and insurance services,insurance services,30,30,-
2022,services,real estate services,real estate services,30,30,-
2022,services,professional services,"legal, accounting and management services",270,270,-
2022,services,professional services,architectural and engineering services,100,90,20
2022,services,professional services,other professional services,120,120,-
2022,services,administrative and support services,security and investigation,10,10,-
2022,services,administrative and support services,cleaning and landscaping,30,30,-
2022,services,administrative and support services,other adminstrative and support services,190,180,10
2022,services,"community, social and personal services",public administration and education,50,50,-
2022,services,"community, social and personal services",health and social services,90,80,20
2022,services,"community, social and personal services","arts, entertainment and recreation",60,50,10
2022,services,"community, social and personal services","other community, social and personal services",110,110,-
2022,others,others,others,30,30,-
